route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
"1072814206","4418_247551","4418_297353","Arezzo","19629","0","4030452661"
"1072814206","4418_247551","4418_297354","Firenze Smn","19638","0","3609298212"
"1072814206","4418_247551","4418_297355","Firenze Smn","19636","0","3609298212"
"1072814206","4418_247554","4418_297368","Arezzo","18859","0","187256109"
"1087384773","4418_248008","4418_298663","Pistoia","18656","0","2083068938"
"1087384773","4418_248008","4418_298664","Pistoia","18688","0","2083068938"
"1087384773","4418_248008","4418_298665","Lucca","18575","0","3928012225"
"1087384773","4418_248008","4418_298666","Lucca","18571","0","3928012225"
"1087384773","4418_248008","4418_298667","Firenze Smn","18689","1","2014601387"
"1087384773","4418_248008","4418_298668","Pistoia","18680","0","2083068938"
"1087384773","4418_248008","4418_298669","Pistoia","18676","0","2083068938"
"1087384773","4418_248008","4418_298670","Firenze Smn","18657","1","2014601387"
"1087384773","4418_248008","4418_298671","Lucca","18567","0","3928012225"
"1087384773","4418_248008","4418_298672","Pistoia","18660","0","2083068938"
"1087384773","4418_248008","4418_298673","Viareggio","18628","0","2060785310"
"1087384773","4418_248008","4418_298674","Firenze Smn","18681","1","2014601387"
"1087384773","4418_248008","4418_298675","Pistoia","18686","0","2083068938"
"1087384773","4418_248008","4418_298676","Lucca","18631","1","2147381625"
"1087384773","4418_248008","4418_298677","Pistoia","18460","0","2478297587"
"1087384773","4418_248008","4418_298678","Lucca","18563","0","3928012225"
"1087384773","4418_248008","4418_298679","Lucca","18621","1","2147381625"
"1087384773","4418_248008","4418_298680","Firenze Smn","18695","1","3487775158"
"1087384773","4418_248008","4418_298681","Firenze Smn","18677","1","2014601387"
"1087384773","4418_248008","4418_298682","Firenze Smn","18693","1","2014601387"
"1087384773","4418_248008","4418_298683","Lucca","18551","0","3928012225"
"1087384773","4418_248008","4418_298684","Pistoia","18666","0","2083068938"
"1087384773","4418_248008","4418_298685","Firenze Smn","18665","1","2014601387"
"1087384773","4418_248008","4418_298686","Lucca","18581","0","3928012225"
"1087384773","4418_248008","4418_298687","Firenze C.M.","18823","1","3266651366"
"1087384773","4418_248008","4418_298688","Pistoia","18678","0","2083068938"
"1087384773","4418_248008","4418_298689","Firenze Smn","18687","1","2014601387"
"1087384773","4418_248008","4418_298690","Firenze Smn","18467","1","3865866155"
"1087384773","4418_248008","4418_298691","Lucca","18591","0","3928012225"
"1087384773","4418_248008","4418_298692","Viareggio","18620","0","2060785310"
"1087384773","4418_248008","4418_298693","Lucca","18577","0","3928012225"
"1087384773","4418_248008","4418_298694","Lucca","18559","0","3928012225"
"1087384773","4418_248008","4418_298695","Pistoia","18668","0","2083068938"
"1087384773","4418_248009","4418_298696","Pistoia","18654","0","2083068938"
"1087384773","4418_248009","4418_298697","Firenze Smn","18661","1","2014601387"
"1087384773","4418_248009","4418_298698","Firenze Smn","18683","1","2014601387"
"1087384773","4418_248009","4418_298699","Firenze Smn","18475","1","3865866155"
"1087384773","4418_248009","4418_298700","Pistoia","18684","0","2374626401"
"1087384773","4418_248009","4418_298701","Firenze Smn","18669","1","2014601387"
"1087384773","4418_248009","4418_298702","Pistoia","18472","0","2478297587"
"1087384773","4418_248009","4418_298703","Pistoia","18664","0","802166513"
